"make","model","years","engine_size","fuel_type","price"
"Mercedes-Benz","Jetta",2010,"4.2","Petrol","54073.09"
"Toyota","RAV4",2010,"2.4","Petrol","30871.25"
"Nissan","Altima",2010,"3.6","Petrol","72037.65"
"Ford","Focus",2011,"2.6","Petrol","64616.84"
"Ford","Explorer",2016,"2","Petrol","39159.35"
"BMW","7 Series",2018,"4","Diesel","21455.06"
"Hyundai","Kona",2017,"2","Electric","44998.91"
"Chevrolet","Impala",2016,"1.6","Petrol","59598.11"
"BMW","3 Series",2013,"2.9","Electric","58034.53"
"Nissan","Sentra",2019,"4.6","Diesel","60734.86"
"Chevrolet","Impala",2016,"2.6","Electric","19645.8"
"Toyota","Corolla",2015,"2.4","Petrol","41643.48"
"Chevrolet","Malibu",2017,"4.5","Diesel","41910.6"
"Toyota","Camry",2018,"1.7","Petrol","70906.11"
"Ford","Focus",2016,"2.3","Petrol","56343.74"
"Chevrolet","Malibu",2017,"2.9","Electric","67939.4"
"Toyota","Prius",2015,"4.5","Electric","48719.01"
"Hyundai","Elantra",2013,"2.9","Diesel","29751.51"
"BMW","7 Series",2014,"3.7","Diesel","48173.02"
"Hyundai","Kona",2018,"3.7","Electric","17542.33"
"Honda","CR-V",2013,"1.7","Petrol","42251.15"
"Hyundai","Elantra",2016,"4","Electric","48303.71"
"BMW","5 Series",2020,"3.7","Petrol","79866.56"
"Mercedes-Benz","S-Class",2010,"3.5","Diesel","24170.77"
"Toyota","RAV4",2015,"4.5","Diesel","48293.31"
"Nissan","Versa",2015,"2.4","Diesel","15993.89"
"Honda","Accord",2020,"2.1","Diesel","78359.84"
"Audi","Q5",2015,"3.6","Petrol","39358.11"
"Volkswagen","Passat",2011,"3.5","Diesel","27005.36"
"Hyundai","Elantra",2017,"4.5","Petrol","69739.74"
"Honda","CR-V",2011,"1.5","Petrol","59744.5"
"Audi","A4",2013,"2.3","Electric","61258.2"
"Chevrolet","Equinox",2016,"3.3","Diesel","18125.3"
"Toyota","Corolla",2015,"2.2","Diesel","29886.1"
"Toyota","Highlander",2017,"3","Electric","54631.63"
"Toyota","Highlander",2020,"2.9","Petrol","26926.1"
"BMW","7 Series",2014,"4.3","Diesel","32482.79"
"Hyundai","Tucson",2018,"1.6","Petrol","64286.21"
"Nissan","Sentra",2019,"5","Diesel","48372.54"
"Mercedes-Benz","GLC",2013,"2","Petrol","48920.57"
"Audi","Q7",2015,"2.9","Electric","56160.82"
"Chevrolet","Spark",2019,"2.5","Diesel","59249.13"
"Volkswagen","Atlas",2011,"3.5","Petrol","50513.45"
"Mercedes-Benz","E-Class",2011,"2.7","Diesel","33105.98"
"BMW","X5",2011,"2.7","Petrol","31799.16"
"Mercedes-Benz","E-Class",2010,"2.5","Diesel","61757.34"
"Nissan","Murano",2016,"1.6","Electric","75854.01"
"Mercedes-Benz","GLA",2016,"4.8","Electric","46262.72"
"Nissan","Altima",2014,"1.9","Diesel","59257.07"
"Chevrolet","Equinox",2010,"4.6","Electric","49276.29"
"Hyundai","Tucson",2010,"4.1","Electric","37244.64"
"Hyundai","Santa Fe",2015,"3.7","Petrol","52899.2"
"Mercedes-Benz","S-Class",2020,"2.1","Petrol","67972.98"
"Ford","Fiesta",2013,"1.3","Diesel","23166.95"
"Audi","A4",2011,"1.1","Petrol","18686.56"
"Chevrolet","Spark",2013,"4.2","Electric","55849.67"
"Honda","Fit",2013,"3.3","Diesel","74057.5"
"Mercedes-Benz","E-Class",2020,"1.9","Petrol","77397.76"
"Mercedes-Benz","C-Class",2012,"1.4","Petrol","78277.5"
